emp_no,title,birth_date,first_name,last_name,to_date
10001,Senior Engineer,1953-09-02,Georgi,Facello,9999-01-01
10004,Senior Engineer,1954-05-01,Chirstian,Koblick,9999-01-01
10005,Senior Staff,1955-01-21,Kyoichi,Maliniak,9999-01-01
10006,Senior Engineer,1953-04-20,Anneke,Preusig,9999-01-01
10009,Senior Engineer,1952-04-19,Sumant,Peac,9999-01-01
10018,Senior Engineer,1954-06-19,Kazuhide,Peha,9999-01-01
10019,Staff,1953-01-23,Lillian,Haddadi,9999-01-01
10020,Engineer,1952-12-24,Mayuko,Warwick,9999-01-01
10022,Engineer,1952-07-08,Shahaf,Famili,9999-01-01
10023,Engineer,1953-09-29,Bojan,Montemayor,9999-01-01
10026,Senior Engineer,1953-04-03,Yongqiao,Berztiss,9999-01-01
10035,Senior Engineer,1953-02-08,Alain,Chappelet,9999-01-01
10047,Senior Engineer,1952-06-29,Zvonko,Nyanchama,9999-01-01
10051,Senior Engineer,1953-07-28,Hidefumi,Caine,9999-01-01
10053,Senior Staff,1954-09-13,Sanjiv,Zschoche,9999-01-01
10057,Senior Engineer,1954-05-30,Ebbe,Callaway,9999-01-01
10058,Senior Staff,1954-10-01,Berhard,McFarlin,9999-01-01
10059,Senior Staff,1953-09-19,Alejandro,McAlpine,9999-01-01
10063,Senior Engineer,1952-08-06,Gino,Leonhardt,9999-01-01
10066,Senior Engineer,1952-11-13,Kwee,Schusler,9999-01-01
10067,Senior Engineer,1953-01-07,Claudi,Stavenow,9999-01-01
10070,Technique Leader,1955-08-20,Reuven,Garigliano,9999-01-01
10072,Senior Engineer,1952-05-15,Hironoby,Sidou,9999-01-01
10074,Technique Leader,1955-08-28,Mokhtar,Bernatsky,9999-01-01
10076,Senior Engineer,1952-06-13,Erez,Ritzmann,9999-01-01
10088,Senior Staff,1954-02-25,Jungsoon,Syrzycki,9999-01-01
10091,Senior Engineer,1955-10-04,Amabile,Gomatam,9999-01-01
10096,Engineer,1954-09-16,Jayson,Mandell,9999-01-01
10097,Senior Staff,1952-02-27,Remzi,Waschkowski,9999-01-01
10100,Senior Staff,1953-04-21,Hironobu,Haraldson,9999-01-01
10103,Engineer,1953-11-26,Akemi,Birch,9999-01-01
10106,Senior Engineer,1952-08-29,Eben,Aingworth,9999-01-01
10126,Senior Staff,1954-08-07,Kayoko,Valtorta,9999-01-01
10127,Senior Engineer,1952-02-24,Subir,Baja,9999-01-01
10129,Technique Leader,1955-12-02,Armond,Peir,9999-01-01
10130,Senior Engineer,1955-04-27,Nishit,Casperson,9999-01-01
10134,Senior Engineer,1953-04-15,Diederik,Siprelle,9999-01-01
10138,Senior Engineer,1955-04-24,Perry,Shimshoni,9999-01-01
10150,Senior Engineer,1955-01-29,Zhenbing,Perng,9999-01-01
10153,Assistant Engineer,1955-12-15,Heekeun,Majewski,9999-01-01
10157,Senior Engineer,1954-04-23,Nigel,Aloisi,9999-01-01
10159,Senior Engineer,1955-03-03,Serif,Buescher,9999-01-01
10160,Senior Staff,1953-10-18,Debatosh,Khasidashvili,9999-01-01
10163,Senior Staff,1952-09-17,Karsten,Szmurlo,9999-01-01
10166,Engineer,1953-05-10,Samphel,Siegrist,9999-01-01
10183,Staff,1954-10-17,Mechthild,Bonifati,9999-01-01
10194,Senior Staff,1954-01-29,Josyula,Hofmeyr,9999-01-01
10196,Staff,1954-01-27,Marc,Hellwagner,9999-01-01
10198,Senior Engineer,1953-05-28,Pranav,Furedi,9999-01-01
10203,Senior Staff,1955-07-27,Steen,Escriba,9999-01-01
10205,Senior Engineer,1953-05-20,Mabhin,Leijenhorst,9999-01-01
10207,Senior Engineer,1955-05-28,Girolamo,Anandan,9999-01-01
10215,Senior Staff,1954-04-02,Xiaobin,Duclos,9999-01-01
10219,Senior Staff,1952-05-02,Genta,Kolvik,9999-01-01
10224,Senior Engineer,1954-05-17,Leon,Trogemann,9999-01-01
10228,Senior Staff,1953-04-21,Karoline,Cesareni,9999-01-01
10230,Senior Staff,1955-09-11,Clyde,Vernadat,9999-01-01
10233,Senior Staff,1954-04-01,Lein,Vendrig,9999-01-01
10239,Staff,1955-03-31,Nikolaos,Llado,9999-01-01
10240,Engineer,1952-04-01,Remko,Maccarone,9999-01-01
10248,Senior Staff,1955-09-24,Frederique,Tempesti,9999-01-01
10249,Senior Engineer,1954-06-10,Marie,Boreale,9999-01-01
10258,Senior Engineer,1955-12-12,Basil,Ishibashi,9999-01-01
10262,Staff,1955-08-04,Mahendra,Maraist,9999-01-01
10272,Staff,1954-11-30,Yishai,Cannane,9999-01-01
10281,Senior Engineer,1953-05-13,Moty,Kusakari,9999-01-01
10282,Engineer,1953-11-27,Hercules,Benzmuller,9999-01-01
10283,Senior Engineer,1953-07-08,Kauko,Birjandi,9999-01-01
10284,Engineer,1954-04-08,Masali,Murrill,9999-01-01
10295,Senior Staff,1953-01-13,Kristine,Velardi,9999-01-01
10298,Staff,1954-07-06,Dietrich,DuCasse,9999-01-01
10306,Staff,1953-06-02,Heng,Kilgour,9999-01-01
10307,Engineer,1955-07-20,Nikolaos,Leaver,9999-01-01
10322,Senior Engineer,1954-05-28,Isamu,Dahlbom,9999-01-01
10325,Senior Staff,1953-01-12,Arunachalam,Badr,9999-01-01
10326,Staff,1953-02-13,Masali,Czap,9999-01-01
10328,Engineer,1955-06-28,Serenella,Kawashima,9999-01-01
10333,Senior Engineer,1953-04-27,Snehasis,Dymetman,9999-01-01
10340,Senior Staff,1952-08-20,Djelloul,Laventhal,9999-01-01
10343,Senior Engineer,1954-11-01,Dinah,Syrzycki,9999-01-01
10347,Staff,1953-10-03,Pradeep,Kaminger,9999-01-01
10349,Senior Staff,1954-04-29,Oksana,Brodie,9999-01-01
10353,Senior Staff,1953-01-15,Phule,Hammerschmidt,9999-01-01
10355,Staff,1952-12-10,Satyanarayana,Cochrane,9999-01-01
10356,Senior Staff,1952-08-12,Vasilis,Standera,9999-01-01
10358,Technique Leader,1953-04-08,Qunsheng,Tagansky,9999-01-01
10364,Senior Engineer,1954-09-21,Nakhoon,Dengi,9999-01-01
10367,Senior Staff,1955-12-24,Hyuckchul,Gini,9999-01-01
10372,Technique Leader,1952-04-08,Anneli,Frijda,9999-01-01
10377,Senior Engineer,1954-08-19,Marl,Grospietsch,9999-01-01
10387,Senior Staff,1952-11-03,Parto,Wrigley,9999-01-01
10388,Staff,1953-03-29,Hironoby,Kaiser,9999-01-01
10389,Technique Leader,1953-03-24,Make,Peir,9999-01-01
10396,Senior Engineer,1955-08-21,Sibyl,Rahier,9999-01-01
10397,Technique Leader,1955-11-11,Irena,Reutenauer,9999-01-01
10402,Technique Leader,1953-07-23,Volkmar,Ebeling,9999-01-01
10404,Senior Engineer,1955-04-27,Prodip,Rosti,9999-01-01
10407,Senior Staff,1955-07-05,Ulf,Siepmann,9999-01-01
10413,Senior Staff,1952-05-05,Danel,Impagliazzo,9999-01-01
10418,Staff,1952-06-29,Candida,Porotnikoff,9999-01-01
10422,Engineer,1954-06-02,Greger,Rubsam,9999-01-01
10426,Technique Leader,1955-12-28,Arunas,Luce,9999-01-01
10429,Senior Engineer,1952-02-13,Martien,Improta,9999-01-01
10432,Senior Staff,1953-11-06,Hisao,Tiemann,9999-01-01
10433,Engineer,1954-09-02,Reuven,Dengi,9999-01-01
10451,Senior Engineer,1952-10-06,Bodh,Ranta,9999-01-01
10453,Senior Staff,1953-07-19,Tsvetan,Matzel,9999-01-01
10463,Staff,1954-05-20,Ung,Zaiane,9999-01-01
10477,Senior Engineer,1952-12-07,Guoxiang,Trogemann,9999-01-01
10486,Senior Engineer,1952-08-24,Amstein,Kossowski,9999-01-01
10494,Senior Engineer,1953-12-21,Yakkov,Servieres,9999-01-01
10497,Senior Engineer,1953-06-09,Pramod,Rabehasaina,9999-01-01
10499,Senior Staff,1953-10-04,Maik,Luft,9999-01-01
10503,Engineer,1952-05-17,Dannz,Pell,9999-01-01
10504,Staff,1953-04-07,Xiong,Varker,9999-01-01
10509,Senior Staff,1953-10-03,Abdelwaheb,Riesenhuber,9999-01-01
10512,Senior Staff,1955-11-16,Udi,Gihr,9999-01-01
10517,Senior Staff,1953-06-18,Tiina,Speek,9999-01-01
